DATE,MSPUS,RATE
2002-07-01,178100,-4.86111111111111
2002-10-01,190100,6.73778775968557
2003-01-01,186000,-2.15675960021042
2003-04-01,191800,3.11827956989247
2003-07-01,191900,0.052137643378519
2003-10-01,198800,3.59562272016675
2004-01-01,212700,6.99195171026157
2004-04-01,217600,2.30371415138693
2004-07-01,213500,-1.88419117647059
2004-10-01,228800,7.16627634660422
2005-01-01,232500,1.61713286713287
2005-04-01,233700,0.516129032258065
2005-07-01,236400,1.15532734274711
2005-10-01,243600,3.04568527918782
2006-01-01,247700,1.68308702791461
2006-04-01,246300,-0.565199838514332
2006-07-01,235600,-4.34429557450264
2006-10-01,245400,4.15959252971138
2007-01-01,257400,4.88997555012225
2007-04-01,242200,-5.90520590520591
2007-07-01,241800,-0.165152766308836
2007-10-01,238400,-1.40612076095947
2008-01-01,233900,-1.88758389261745
2008-04-01,235300,0.598546387345019
2008-07-01,226500,-3.73990650233744
2008-10-01,222500,-1.76600441501104
2009-01-01,208400,-6.33707865168539
2009-04-01,220900,5.99808061420346
2009-07-01,214300,-2.98777727478497
2009-10-01,219000,2.19318712085861
2010-01-01,222900,1.78082191780822
2010-04-01,219500,-1.52534768954688
2010-07-01,224100,2.09567198177677
2010-10-01,224300,0.089245872378403
2011-01-01,226900,1.15916183682568
2011-04-01,228100,0.528867342441604
2011-07-01,223500,-2.01665935992985
2011-10-01,221100,-1.0738255033557
2012-01-01,238400,7.82451379466305
2012-04-01,238700,0.125838926174497
2012-07-01,248800,4.23125261834939
2012-10-01,251700,1.16559485530547
2013-01-01,258400,2.66189908621375
2013-04-01,268100,3.75386996904025
2013-07-01,264800,-1.23088399850802
2013-10-01,273600,3.32326283987915
2014-01-01,275200,0.584795321637427
2014-04-01,288000,4.65116279069768
2014-07-01,281000,-2.43055555555556
2014-10-01,298900,6.37010676156584
2015-01-01,289200,-3.2452325192372
2015-04-01,289100,-0.034578146611342
2015-07-01,295800,2.31753718436527
2015-10-01,302500,2.26504394861393
2016-01-01,299800,-0.892561983471074
2016-04-01,306000,2.06804536357572
2016-07-01,303800,-0.718954248366013
2016-10-01,310900,2.33706385780118
2017-01-01,313100,0.707623029913155
2017-04-01,318200,1.62887256467582
2017-07-01,320500,0.722815839094909
2017-10-01,337900,5.42901716068643
2018-01-01,331800,-1.80526783071915
2018-04-01,315600,-4.88245931283906
2018-07-01,330900,4.84790874524715
2018-10-01,322800,-2.44786944696283
2019-01-01,313000,-3.0359355638166
2019-04-01,322500,3.03514376996805
2019-07-01,318400,-1.27131782945736
2019-10-01,327100,2.73241206030151
2020-01-01,329000,0.580862121675329
2020-04-01,322600,-1.94528875379939
2020-07-01,337500,4.6187228766274
2020-10-01,358700,6.28148148148148
2021-01-01,369800,3.09450794535824
2021-04-01,382600,3.46133044889129
2021-07-01,411200,7.47516989022478
2021-10-01,408100,-0.753891050583658
